"year","month","calamar_anomaly","bolivar_anomaly","manaos_anomaly","obidos_anomaly","tabatinga_anomaly","timbues_anomaly"
1994,10,-0.3444777040202732,,1.3966045213376448,1.2597904128671646,0.6213313077500076,-0.08563627718402528
1994,9,-0.5063305880413628,,1.2313646019225666,0.8746323531982529,0.669325968880952,0.27307510584372935
1994,8,-0.27140794434580234,,1.2855511611638808,0.6462382459571223,0.4772565753316402,0.87502950228012
1994,7,0.18046238857605643,,1.0380933779777497,0.8117832800684991,1.9364157595344869,0.8883574294729479
1994,6,0.5253791011533869,,0.7544528698937095,0.8228497224737206,1.926327133622098,0.22891462080505173
1994,5,0.8136479426025846,,0.7587714765400065,0.9732515802380964,1.311477423647431,-0.3732151476830497
1994,4,1.1285504975109137,,0.976247689872421,1.2788516450914942,0.36137819639505625,-0.2718185556567822
1994,3,0.7114657837939591,,1.0831019979581917,1.5067214236717412,0.3888365008603727,0.3889324227096027
1994,2,0.4059112886621809,,1.4537085107255545,1.8077422515534305,0.21427781855079947,0.19050413471572716
1994,1,0.4573572842048188,,1.8084189482162982,1.950262190890036,0.6905471311757476,0.20844369213344732
1993,12,0.04650281857020659,,2.0889922432547645,1.5809412572205293,2.026728432900694,1.0355582230838185
1993,11,-0.474629164040277,,1.278967785583472,0.6857788725359107,2.4603628790164165,1.6703792954919785
1993,10,-0.1670278590419977,,0.5992748424457246,0.2919899953583442,1.4041874605868345,0.9872270558231536
1993,9,-0.1843768564214252,,0.36122506801889637,-0.13455633973646963,2.3601596996989853,0.1499319747320684
1993,8,-0.5610298362327857,,0.27564297191942466,-0.24611525180473798,1.3230816628607571,0.1783999007643846
1993,7,-0.11229853205511446,,0.6349375526745291,-0.09734282672293687,0.06202201031799997,0.2550989387243104
1993,6,0.22305718699268234,,0.7976478342948641,0.12065713750773237,0.6817159707729011,0.4070602660478338
1993,5,0.3604220236816621,,0.6183621211274845,0.45659513419265635,1.129848186259853,0.4404659258477677
1993,4,0.22194403522212153,,0.626574156370555,0.6463350457613852,1.108572019257247,0.8862206571441718
1993,3,-0.40053419280087166,,0.729976375234617,0.41669608623918186,0.5101273818506544,1.163516928749132
1993,2,-0.4150191705688094,,0.8394230748378805,0.20205471131919595,0.4653213884932412,1.4730363508008923
1993,1,-0.8330177771605385,,0.8325726735062471,0.33493557604141183,0.7022929314401342,1.8454486000778099
1992,12,-1.2185494949074327,,0.28597148251935817,-0.08146499129979293,0.5477749748329359,2.0727011598936276
1992,11,-1.5217186472245174,,-0.3176947967687394,-0.46627446534737554,-0.3303016219784816,1.7155064584888062
1992,10,-0.8621015897063701,,-0.3702450298709797,-0.3835776809007135,0.9557323308293962,1.679899500925807
1992,9,-0.7495351472064361,,-1.140697828162511,-1.49688719608466,1.7015254144201906,2.0052498200176356
1992,8,-0.8341199682881846,,-2.1523285641751437,-2.2604188725629726,-0.4911250216772899,2.115387732097609
1992,7,-1.5000601229192274,,-2.436593028328192,-2.8154961910136276,-0.7802263101054383,2.722173992323028
1992,6,-1.5748348053435954,,-1.9717508326905977,-2.77608434344536,-1.894490706367489,2.8295112551020485
1992,5,-1.575346920297231,,-1.339252706936126,-2.1542959248700937,-1.9692427724407497,1.6481431778169389
1992,4,-1.6303507100260877,,-0.9177730655675006,-1.619400803888285,-1.2165714020352771,0.6629902293657723
1992,3,-0.9022734422353907,,-1.781667293940117,-2.0077075253398986,-1.4683544588136737,0.3121696984910737
1992,2,-0.9077466408921582,,-2.813147154486794,-2.1087564080357653,-2.2259959599603705,0.45544726983505623
1992,1,-1.0790731295086515,,-2.2461592076367296,-1.9427531493574655,-1.3461982443176095,0.563721710498293
1991,12,-0.6364891010639521,,-0.5834665454620339,-1.2786591817196507,-0.8947750526496924,-0.06060783773247522
1991,11,-0.8501638837627922,,-0.9206267259742026,-1.0592859831218608,-0.04120948667645523,-0.1678478677117456
1991,10,-0.422244962538771,,-0.06122734417269688,-0.3912443796008998,-0.6596522753547231,0.1003103745731653
1991,9,-1.0797270541985058,,-0.09252095894666296,0.0685440600661791,-0.8686740918781797,0.08816064794837504
1991,8,-0.5259907238555172,,-0.19710070212271766,0.04892545085882706,-0.7872632465982925,0.6810627434576473
1991,7,-0.6103350545431137,,-0.14713443968906337,-0.10763734293219238,-0.25537964122871837,0.6069411923700816
