"year","month","calamar_monthly","bolivar_monthly","manaos_monthly","obidos_monthly","tabatinga_monthly","timbues_monthly"
2011,10,9565.09677419355,46831.41935483871,51639.354838709674,90243.54838709677,24865.483870967742,19336.045
2011,9,9129.933333333332,63047.36666666667,63368.0,145425.66666666666,17176.666666666668,19584.28
2011,8,10125.774193548386,72802.29032258065,119877.41935483871,222264.51612903227,23122.25806451613,18749.32
2011,7,11226.354838709678,65801.67741935483,133483.87096774194,253496.7741935484,36444.83870967742,17140.105
2011,6,12827.266666666666,54591.933333333334,130650.0,255083.33333333334,45129.333333333336,18137.55
2011,5,11996.0,31952.41935483871,126750.0,244774.1935483871,54873.54838709677,21027.495
2011,4,8273.766666666666,11133.5,112156.66666666667,227810.0,49982.0,21674.645
2011,3,6595.290322580645,8382.741935483871,95257.74193548386,194858.06451612903,39633.54838709677,20289.31
2011,2,6720.857142857143,7580.321428571428,82783.92857142857,156660.7142857143,32142.85714285714,18334.035
2011,1,11430.129032258064,15674.483870967742,66424.83870967742,122641.93548387097,28331.612903225807,17608.285
2010,12,13942.032258064517,30469.129032258064,59854.61538461538,92691.6129032258,24986.129032258064,16066.495
2010,11,13717.433333333332,33560.666666666664,39724.666666666664,61866.666666666664,19623.666666666668,14764.74
2010,10,13684.548387096775,48040.3870967742,31274.21052631579,66219.03225806452,13739.354838709678,14951.71
2010,9,12839.266666666666,69348.96666666666,42444.0,123526.66666666667,14232.0,14941.385
2010,8,12741.258064516129,74365.2258064516,92383.54838709677,195806.4516129032,19458.709677419356,16357.13
2010,7,10972.258064516129,64497.0,127345.16129032258,239074.1935483871,26987.09677419355,17844.89
2010,6,9275.166666666666,47891.96666666667,136438.88888888888,252823.33333333334,38570.333333333336,20110.295
2010,5,7182.064516129032,29773.83870967742,131377.4193548387,249835.48387096773,46167.096774193546,21545.83
2010,4,4544.6,9819.766666666666,121330.0,218220.0,45776.666666666664,21998.845
2010,3,3222.0,3911.8064516129034,108900.0,182951.61290322582,41450.645161290326,23579.58
2010,2,2578.9285714285716,3387.25,97241.78571428571,166310.7142857143,39429.642857142855,24389.76
2010,1,3447.064516129032,5906.064516129032,94447.09677419355,142509.67741935485,39464.83870967742,23678.565
2009,12,6163.225806451613,11803.193548387097,71914.19354838709,94385.48387096774,39298.3870967742,22705.1
2009,11,7123.2,22201.8,57512.0,89643.33333333333,23904.666666666668,20471.805
2009,10,5289.290322580645,35496.290322580644,65208.709677419356,122230.32258064517,24564.1935483871,18344.205
2009,9,6082.5,53429.933333333334,107017.33333333333,202416.66666666666,22245.0,17359.66
2009,8,6034.5161290322585,57614.096774193546,143970.96774193548,254632.25806451612,28308.709677419356,16887.905
2009,7,7401.419354838709,44229.903225806454,156219.35483870967,256529.03225806452,40699.032258064515,15175.54
2009,6,7787.466666666666,23190.666666666668,159700.0,248720.0,50952.333333333336,12746.845
2009,5,7849.806451612903,16689.129032258064,154703.2258064516,241193.5483870968,56591.6129032258,12730.195
2009,4,6947.7,10438.4,142633.33333333334,242636.66666666666,54110.333333333336,13667.38
2009,3,5642.580645161291,8272.0,129264.51612903226,238806.4516129032,52978.709677419356,14487.405
2009,2,6777.5,11269.142857142857,113096.42857142857,211650.0,47746.07142857143,14522.78
2009,1,10257.483870967742,16593.967741935485,92704.51612903226,177967.74193548388,35421.93548387097,13275.235
2008,12,14438.193548387097,32525.064516129034,84815.16129032258,134429.03225806452,32846.12903225807,15385.285
2008,11,13323.466666666667,36889.36666666667,66559.0,107603.33333333333,29680.0,17539.745
2008,10,12038.258064516129,48596.1935483871,60274.83870967742,111912.90322580645,23163.870967741936,15230.62
2008,9,12124.566666666668,62895.26666666667,88071.33333333333,158906.66666666666,20958.666666666668,15726.04
2008,8,11936.225806451614,68530.93548387097,110322.58064516129,221422.5806451613,22463.548387096773,16142.09
2008,7,11524.548387096775,53969.74193548387,125420.0,253580.64516129033,32299.032258064515,15235.565
2008,6,9974.333333333334,33715.63333333333,137975.0,254753.33333333334,37687.666666666664,16202.955
2008,5,7710.806451612903,15086.90322580645,137809.67741935485,246064.51612903227,47211.290322580644,17334.04
2008,4,5673.366666666667,5959.4,131866.66666666666,238456.66666666666,48545.666666666664,17084.465
2008,3,5420.225806451613,6856.4838709677415,120716.12903225806,224993.5483870968,47295.16129032258,16110.36
2008,2,5442.068965517241,7468.931034482759,114575.86206896552,196272.41379310345,42730.0,16004.335
2008,1,8935.612903225807,14755.90322580645,97255.16129032258,164893.5483870968,42196.12903225807,15847.19
2007,12,12510.838709677419,22548.290322580644,85784.51612903226,121932.25806451614,36308.06451612903,16451.98
2007,11,13131.1,40867.9,66073.66666666667,101910.0,32708.0,16190.235
2007,10,10444.387096774193,56594.967741935485,52452.903225806454,103873.87096774194,20434.1935483871,14988.965
2007,9,10419.2,67845.03333333334,65773.33333333333,144313.33333333334,18027.0,14427.555
2007,8,9304.322580645161,70139.67741935483,107279.35483870968,194851.61290322582,19672.90322580645,14969.5
2007,7,11099.58064516129,59356.58064516129,130225.80645161291,227661.29032258064,28214.516129032258,17349.725
2007,6,11263.266666666666,39385.9,138110.0,246343.33333333334,39129.0,19771.675
2007,5,8441.870967741936,21515.064516129034,134719.35483870967,237348.38709677418,47559.032258064515,20610.28
2007,4,5658.066666666667,9844.966666666667,120590.0,208453.33333333334,45766.333333333336,22494.92
2007,3,2916.0967741935483,4175.096774193548,111667.74193548386,185825.8064516129,38953.22580645161,23081.27
2007,2,3753.6785714285716,6315.285714285715,112700.0,168260.7142857143,45201.78571428572,20721.725
2007,1,7909.322580645161,13054.064516129032,102603.87096774194,146409.67741935485,45825.8064516129,18569.07
2006,12,10575.41935483871,27889.548387096773,79515.48387096774,121216.12903225806,37700.0,17267.97
2006,11,9114.366666666667,36585.7,56211.0,97094.0,28204.333333333332,16393.495
2006,10,7218.258064516129,46943.87096774193,50766.12903225807,97822.58064516129,21541.935483870966,15278.87
2006,9,7057.666666666667,68691.26666666666,60374.666666666664,136883.33333333334,18195.0,14040.315
2006,8,6983.806451612903,75759.54838709677,87975.16129032258,188232.25806451612,19222.25806451613,13794.22
2006,7,10159.290322580646,62423.12903225807,123012.90322580645,236303.2258064516,26959.032258064515,14160.725
2006,6,11047.1,40523.1,138653.33333333334,268466.6666666667,32555.0,14478.15
2006,5,8757.258064516129,24147.1935483871,139183.87096774194,271396.77419354836,49255.48387096774,15884.98
2006,4,6291.8,10929.9,130683.33333333333,245660.0,50441.666666666664,17365.115
2006,3,4329.064516129032,7794.645161290323,119367.74193548386,222119.35483870967,44661.6129032258,15865.77
2006,2,5531.642857142857,14114.035714285714,102638.21428571429,181275.0,43278.57142857143,15262.505
2006,1,9204.451612903225,13326.806451612903,83986.45161290323,147719.35483870967,35199.032258064515,15973.385
2005,12,12699.90322580645,26590.967741935485,71317.41935483871,115035.48387096774,27170.967741935485,16915.625
2005,11,10060.466666666667,31425.4,60054.0,87897.33333333333,30025.0,18095.21
2005,10,7510.4838709677415,39927.3870967742,40265.8064516129,79482.90322580645,17999.032258064515,16554.255
2005,9,6317.933333333333,57892.13333333333,56250.666666666664,108712.33333333333,14099.333333333334,14284.83
2005,8,6663.870967741936,61554.74193548387,86919.67741935483,159506.4516129032,18200.322580645163,14343.735
2005,7,8272.741935483871,53521.3870967742,123793.54838709677,203816.12903225806,27881.612903225807,16576.775
2005,6,8433.633333333333,42722.433333333334,137050.0,233316.66666666666,35498.333333333336,17205.84
2005,5,6629.548387096775,29687.16129032258,136009.67741935485,244490.32258064515,46260.645161290326,16778.855
2005,4,4448.266666666666,10375.733333333334,127076.66666666667,229593.33333333334,45633.333333333336,16707.885
2005,3,3838.4193548387098,6514.741935483871,117061.29032258065,191538.70967741936,43419.032258064515,18351.85323
2005,2,4568.428571428572,8595.07142857143,98260.71428571429,151146.42857142858,36512.5,19848.19036
